TPU_ID,YEAR,nearest_mtr_distance,nearest_mtr_station,nearest_mtr_lat,nearest_mtr_lon,mtr_stations_count,has_mtr_station,mtr_proximity_category,within_500m_buffer,within_1000m_buffer,within_2000m_buffer
423,2006,419.349959886549,Tuen Mun,22.394156,113.973948,0,False,Very Close (<500m),True,True,True
723,2006,673.316876957933,Tai Po Market,22.4446,114.1706,0,False,Close (500-1000m),False,True,True
517,2006,1505.109203003249,Tin Shui Wai,22.446803,114.003028,0,False,Moderate (1-2km),False,False,True
251,2006,219.6936923022964,Austin,22.304236,114.166601,0,False,Very Close (<500m),True,True,True
271,2006,860.0255160468731,Kowloon Tong,22.336809,114.177245,0,False,Close (500-1000m),False,True,True
212,2006,222.98013748300397,Tsim Sha Tsui,22.2973,114.1722,0,False,Very Close (<500m),True,True,True
281,2006,556.0899185913805,Wong Tai Sin,22.341839,114.192124,0,False,Close (500-1000m),True,True,True
222,2006,59.39006265681116,Prince Edward,22.3245,114.1683,1,True,Very Close (<500m),True,True,True
624,2006,588.1332942231323,Sheung Shui,22.5012,114.128,0,False,Close (500-1000m),True,True,True
241,2006,381.576600889064,To Kwa Wan,22.3172,114.1876,0,False,Very Close (<500m),True,True,True
253,2006,445.4253301873176,Olympic,22.3178,114.1602,0,False,Very Close (<500m),True,True,True
423,2006,394.95082522392295,Tuen Mun,22.394156,113.973948,0,False,Very Close (<500m),True,True,True
423,2006,255.8454077252134,Tuen Mun,22.394156,113.973948,0,False,Very Close (<500m),True,True,True
291,2006,284.0241550970931,Choi Hung,22.334161,114.210289,0,False,Very Close (<500m),True,True,True
524,2006,927.5852965952683,Long Ping,22.449302,114.027269,0,False,Close (500-1000m),False,True,True
722,2006,2094.4616083634473,Tai Po Market,22.4446,114.1706,0,False,Far (>2km),False,False,True
253,2006,494.6570827472283,Olympic,22.3178,114.1602,0,False,Very Close (<500m),True,True,True
241,2006,260.5247367568234,To Kwa Wan,22.3172,114.1876,0,False,Very Close (<500m),True,True,True
212,2006,326.41804603426334,Tsim Sha Tsui,22.2973,114.1722,0,False,Very Close (<500m),True,True,True
726,2006,446.0580772707281,Tai Wo,22.4511,114.1611,0,False,Very Close (<500m),True,True,True
225,2006,291.163562809994,Yau Ma Tei,22.3129,114.1707,0,False,Very Close (<500m),True,True,True
423,2006,490.5089192619209,Tuen Mun,22.394156,113.973948,0,False,Very Close (<500m),True,True,True
241,2006,509.4165676461915,To Kwa Wan,22.3172,114.1876,0,False,Close (500-1000m),True,True,True
295,2006,208.36010225577627,Ngau Tau Kok,22.3154,114.2193,0,False,Very Close (<500m),True,True,True
