Year,New_Town,DCCA_Code,DCCA_English,DCCA_Chinese,District
2001,Kwai Chung,3108.0,Kwai Tsing - Shek Lei Extension,葵青 - 新石籬,Kwai Tsing
2001,Kwai Chung,3109.0,Kwai Tsing - Shek Lei,葵青 - 石籬,Kwai Tsing
2001,Kwai Chung,3110.0,Kwai Tsing - Tai Pak Tin,葵青 - 大白田,Kwai Tsing
2001,Kwai Chung,3111.0,Kwai Tsing - Kwai Fong,葵青 - 葵芳,Kwai Tsing
2001,Kwai Chung,3112.0,Kwai Tsing - Wah Fung,葵青 - 華峰,Kwai Tsing
2001,Kwai Chung,3113.0,Kwai Tsing - Cho Yiu,葵青 - 祖堯,Kwai Tsing
2001,Kwai Chung,3114.0,Kwai Tsing - Lai Yiu,葵青 - 麗瑤,Kwai Tsing
2001,Kwai Chung,3115.0,Kwai Tsing - Hing Fong,葵青 - 興芳,Kwai Tsing
2001,Kwai Chung,3116.0,Kwai Tsing - Lai King,葵青 - 荔景,Kwai Tsing
2001,Kwai Chung,3117.0,Kwai Tsing - Kwai Shing West Estate,葵青 - 葵盛西邨,Kwai Tsing
2001,Kwai Chung,3125.0,Kwai Tsing - Tsing Yi South,葵青 - 青衣南,Kwai Tsing
2001,Kwai Chung,3202.0,Tsuen Wan - Yeung Uk Road,荃灣 - 楊屋道,Tsuen Wan
2001,Kwai Chung,3203.0,Tsuen Wan - Hoi Bun,荃灣 - 海濱,Tsuen Wan
2001,Kwai Chung,3213.0,Tsuen Wan - Luk Yeung,荃灣 - 綠楊,Tsuen Wan
2001,Kwai Chung,3214.0,Tsuen Wan - Lei Muk Shue East,荃灣 - 梨木樹東,Tsuen Wan
2001,Kwai Chung,3215.0,Tsuen Wan - Lei Muk Shue West,荃灣 - 梨木樹西,Tsuen Wan
2001,Kwai Chung,3216.0,Tsuen Wan - Shek Wai Kok,荃灣 - 石圍角,Tsuen Wan
2001,Kwai Chung,3714.0,Sha Tin - Lower Shing Mun,沙田 - 下城門,Sha Tin
2001,Kwai Chung,3734.0,Sha Tin - Mei Tin,沙田 - 美田,Sha Tin
2001,Tuen Mun,3211.0,Tsuen Wan - Tsuen Wan Rural West,荃灣 - 荃灣郊區西,Tsuen Wan
2001,Tuen Mun,3301.0,Tuen Mun - Tuen Mun Town Centre,屯門 - 屯門市中心,Tuen Mun
2001,Tuen Mun,3302.0,Tuen Mun - Siu Chi,屯門 - 兆置,Tuen Mun
2001,Tuen Mun,3303.0,Tuen Mun - Siu Lun,屯門 - 兆麟,Tuen Mun
2001,Tuen Mun,3304.0,Tuen Mun - On Ting,屯門 - 安定,Tuen Mun
2001,Tuen Mun,3305.0,Tuen Mun - Yau Oi South,屯門 - 友愛南,Tuen Mun
2001,Tuen Mun,3306.0,Tuen Mun - Yau Oi North,屯門 - 友愛北,Tuen Mun
2001,Tuen Mun,3307.0,Tuen Mun - Tsui Hing,屯門 - 翠興,Tuen Mun
2001,Tuen Mun,3308.0,Tuen Mun - Shan King South,屯門 - 山景南,Tuen Mun
2001,Tuen Mun,3309.0,Tuen Mun - Shan King North,屯門 - 山景北,Tuen Mun
2001,Tuen Mun,3310.0,Tuen Mun - Tai Hing South,屯門 - 大興南,Tuen Mun
2001,Tuen Mun,3311.0,Tuen Mun - Hing Tsak,屯門 - 興澤,Tuen Mun
2001,Tuen Mun,3312.0,Tuen Mun - San Hui,屯門 - 新墟,Tuen Mun
2001,Tuen Mun,3313.0,Tuen Mun - Prime View,屯門 - 景峰,Tuen Mun
2001,Tuen Mun,3314.0,Tuen Mun - Handsome,屯門 - 恒順,Tuen Mun
2001,Tuen Mun,3315.0,Tuen Mun - Sam Shing,屯門 - 三聖,Tuen Mun
2001,Tuen Mun,3316.0,Tuen Mun - Tsui Fook,屯門 - 翠福,Tuen Mun
2001,Tuen Mun,3317.0,Tuen Mun - Siu Sun,屯門 - 兆新,Tuen Mun
2001,Tuen Mun,3318.0,Tuen Mun - Yuet Wu,屯門 - 悅湖,Tuen Mun
2001,Tuen Mun,3319.0,Tuen Mun - Siu Hei,屯門 - 兆禧,Tuen Mun
2001,Tuen Mun,3320.0,Tuen Mun - Wu King,屯門 - 湖景,Tuen Mun
2001,Tuen Mun,3321.0,Tuen Mun - Butterfly,屯門 - 蝴蝶,Tuen Mun
2001,Tuen Mun,3322.0,Tuen Mun - Lok Tsui,屯門 - 樂翠,Tuen Mun
2001,Tuen Mun,3323.0,Tuen Mun - Lung Mun,屯門 - 龍門,Tuen Mun
2001,Tuen Mun,3324.0,Tuen Mun - San King,屯門 - 新景,Tuen Mun
2001,Tuen Mun,3325.0,Tuen Mun - Tuen Mun Rural,屯門 - 屯門鄉郊,Tuen Mun
2001,Tuen Mun,3326.0,Tuen Mun - Leung King,屯門 - 良景,Tuen Mun
2001,Tuen Mun,3327.0,Tuen Mun - Tin King,屯門 - 田景,Tuen Mun
2001,Tuen Mun,3328.0,Tuen Mun - Kin Sang,屯門 - 建生,Tuen Mun
2001,Tuen Mun,3329.0,Tuen Mun - Siu Hong,屯門 - 兆康,Tuen Mun
2001,Tuen Mun,3408.0,Yuen Long - Shap Pat Heung South,元朗 - 十八鄉南,Yuen Long
2001,Tuen Mun,3409.0,Yuen Long - Ping Shan South,元朗 - 屏山南,Yuen Long
2001,Tuen Mun,3411.0,Yuen Long - Ha Tsuen,元朗 - 廈村,Yuen Long
2006,Tsuen Wan,3104.0,Kwai Tsing - Lower Tai Wo Hau,葵青 - 下大窩口,Kwai Tsing
2006,Tsuen Wan,3105.0,Kwai Tsing - Kwai Chung Estate,葵青 - 葵涌邨,Kwai Tsing
2006,Tsuen Wan,3106.0,Kwai Tsing - Shek Yam,葵青 - 石蔭,Kwai Tsing
2006,Tsuen Wan,3107.0,Kwai Tsing - On Yam,葵青 - 安蔭,Kwai Tsing
2006,Tsuen Wan,3117.0,Kwai Tsing - Kwai Shing West Estate,葵青 - 葵盛西邨,Kwai Tsing
2006,Tsuen Wan,3201.0,Tsuen Wan - Tak Wah,荃灣 - 德華,Tsuen Wan
2006,Tsuen Wan,3202.0,Tsuen Wan - Yeung Uk Road,荃灣 - 楊屋道,Tsuen Wan
2006,Tsuen Wan,3203.0,Tsuen Wan - Hoi Bun,荃灣 - 海濱,Tsuen Wan
2006,Tsuen Wan,3204.0,Tsuen Wan - Clague Garden,荃灣 - 祈德尊,Tsuen Wan
2006,Tsuen Wan,3205.0,Tsuen Wan - Fuk Loi,荃灣 - 福來,Tsuen Wan
2006,Tsuen Wan,3206.0,Tsuen Wan - Discovery Park,荃灣 - 愉景,Tsuen Wan
2006,Tsuen Wan,3207.0,Tsuen Wan - Tsuen Wan Centre,荃灣 - 荃灣中心,Tsuen Wan
2006,Tsuen Wan,3208.0,Tsuen Wan - Allway,荃灣 - 荃威,Tsuen Wan
2006,Tsuen Wan,3209.0,Tsuen Wan - Lai To,荃灣 - 麗濤,Tsuen Wan
2006,Tsuen Wan,3210.0,Tsuen Wan - Lai Hing,荃灣 - 麗興,Tsuen Wan
2006,Tsuen Wan,3211.0,Tsuen Wan - Tsuen Wan Rural West,荃灣 - 荃灣郊區西,Tsuen Wan
2006,Tsuen Wan,3212.0,Tsuen Wan - Tsuen Wan Rural East,荃灣 - 荃灣郊區東,Tsuen Wan
2006,Tsuen Wan,3213.0,Tsuen Wan - Luk Yeung,荃灣 - 綠楊,Tsuen Wan
2006,Tsuen Wan,3214.0,Tsuen Wan - Lei Muk Shue East,荃灣 - 梨木樹東,Tsuen Wan
2006,Tsuen Wan,3215.0,Tsuen Wan - Lei Muk Shue West,荃灣 - 梨木樹西,Tsuen Wan
2006,Tsuen Wan,3216.0,Tsuen Wan - Shek Wai Kok,荃灣 - 石圍角,Tsuen Wan
2006,Tsuen Wan,3217.0,Tsuen Wan - Cheung Shek,荃灣 - 象石,Tsuen Wan
2006,Tsuen Wan,3312.0,Tuen Mun - Sam Shing,屯門 - 三聖,Tuen Mun
2006,Sha Tin,3610.0,Tai Po - Tai Po Kau,大埔 - 大埔滘,Tai Po
2006,Sha Tin,3701.0,Sha Tin - Sha Tin Town Centre,沙田 - 沙田市中心,Sha Tin
2006,Sha Tin,3702.0,Sha Tin - Lek Yuen,沙田 - 瀝源,Sha Tin
2006,Sha Tin,3703.0,Sha Tin - Wo Che Estate,沙田 - 禾輋邨,Sha Tin
2006,Sha Tin,3704.0,Sha Tin - City One,沙田 - 第一城,Sha Tin
2006,Sha Tin,3705.0,Sha Tin - Yue Shing,沙田 - 愉城,Sha Tin
2006,Sha Tin,3706.0,Sha Tin - Wong Uk,沙田 - 王屋,Sha Tin
2006,Sha Tin,3707.0,Sha Tin - Sha Kok,沙田 - 沙角,Sha Tin
2006,Sha Tin,3708.0,Sha Tin - Pok Hong,沙田 - 博康,Sha Tin
2006,Sha Tin,3709.0,Sha Tin - Jat Min,沙田 - 乙明,Sha Tin
2006,Sha Tin,3710.0,Sha Tin - Chun Fung,沙田 - 秦豐,Sha Tin
2006,Sha Tin,3711.0,Sha Tin - Sun Tin Wai,沙田 - 新田圍,Sha Tin
2006,Sha Tin,3712.0,Sha Tin - Chui Tin,沙田 - 翠田,Sha Tin
2006,Sha Tin,3713.0,Sha Tin - Hin Ka,沙田 - 顯嘉,Sha Tin
2006,Sha Tin,3714.0,Sha Tin - Mei Tin,沙田 - 美田,Sha Tin
2006,Sha Tin,3715.0,Sha Tin - Keng Hau,沙田 - 徑口,Sha Tin
2006,Sha Tin,3716.0,Sha Tin - Tin Sum,沙田 - 田心,Sha Tin
2006,Sha Tin,3717.0,Sha Tin - Sun Chui,沙田 - 新翠,Sha Tin
2006,Sha Tin,3718.0,Sha Tin - Tai Wai,沙田 - 大圍,Sha Tin
2006,Sha Tin,3719.0,Sha Tin - Chung Shing,沙田 - 松城,Sha Tin
2006,Sha Tin,3720.0,Sha Tin - Sui Wo,沙田 - 穗禾,Sha Tin
2006,Sha Tin,3721.0,Sha Tin - Fo Tan,沙田 - 火炭,Sha Tin
2006,Sha Tin,3722.0,Sha Tin - Chun Ma,沙田 - 駿馬,Sha Tin
2006,Sha Tin,3731.0,Sha Tin - On Tai,沙田 - 鞍泰,Sha Tin
2006,Sha Tin,3732.0,Sha Tin - Tai Shui Hang,沙田 - 大水坑,Sha Tin
2006,Sha Tin,3733.0,Sha Tin - Yu Yan,沙田 - 愉欣,Sha Tin
2006,Sha Tin,3734.0,Sha Tin - Bik Woo,沙田 - 碧湖,Sha Tin
2006,Sha Tin,3735.0,Sha Tin - Kwong Hong,沙田 - 廣康,Sha Tin
2006,Sha Tin,3736.0,Sha Tin - Kwong Yuen,沙田 - 廣源,Sha Tin
2006,Tin Shui Wai,3410.0,Yuen Long - Ping Shan North,元朗 - 屏山北,Yuen Long
2006,Tin Shui Wai,3411.0,Yuen Long - Ha Tsuen,元朗 - 廈村,Yuen Long
2006,Tin Shui Wai,3412.0,Yuen Long - Tin Shing,元朗 - 天盛,Yuen Long
2006,Tin Shui Wai,3413.0,Yuen Long - Shui Oi,元朗 - 瑞愛,Yuen Long
2006,Tin Shui Wai,3414.0,Yuen Long - Shui Wah,元朗 - 瑞華,Yuen Long
2006,Tin Shui Wai,3415.0,Yuen Long - Chung Wah,元朗 - 頌華,Yuen Long
2006,Tin Shui Wai,3416.0,Yuen Long - Yuet Yan,元朗 - 悅恩,Yuen Long
2006,Tin Shui Wai,3417.0,Yuen Long - Fu Yan,元朗 - 富恩,Yuen Long
2006,Tin Shui Wai,3418.0,Yuen Long - Yat Chak,元朗 - 逸澤,Yuen Long
2006,Tin Shui Wai,3419.0,Yuen Long - Tin Heng,元朗 - 天恒,Yuen Long
2006,Tin Shui Wai,3420.0,Yuen Long - Wang Yat,元朗 - 宏逸,Yuen Long
2006,Tin Shui Wai,3421.0,Yuen Long - Kingswood North,元朗 - 嘉湖北,Yuen Long
2006,Tin Shui Wai,3422.0,Yuen Long - Kingswood South,元朗 - 嘉湖南,Yuen Long
2006,Tin Shui Wai,3423.0,Yuen Long - Tin Yiu,元朗 - 天耀,Yuen Long
2006,Tin Shui Wai,3424.0,Yuen Long - Tsz Yau,元朗 - 慈祐,Yuen Long
2006,Tseung Kwan O,2615.0,Kwun Tong - Tak Tin,觀塘 - 德田,Kwun Tong
2006,Tseung Kwan O,2617.0,Kwun Tong - Kwong Tak,觀塘 - 廣德,Kwun Tong
2006,Tseung Kwan O,2620.0,Kwun Tong - Yau Tong Sze Shan East,觀塘 - 油塘四山東,Kwun Tong
2006,Tseung Kwan O,2621.0,Kwun Tong - Yau Tong Sze Shan West,觀塘 - 油塘四山西,Kwun Tong
2006,Tseung Kwan O,3804.0,Sai Kung - Hang Hau East,西貢 - 坑口東,Sai Kung
2006,Tseung Kwan O,3805.0,Sai Kung - Hang Hau West,西貢 - 坑口西,Sai Kung
2006,Tseung Kwan O,3806.0,Sai Kung - Wan Po,西貢 - 環保,Sai Kung
2006,Tseung Kwan O,3807.0,Sai Kung - Tseung Kwan O Centre,西貢 - 將軍澳市中心,Sai Kung
2006,Tseung Kwan O,3808.0,Sai Kung - Kin Choi,西貢 - 健彩,Sai Kung
2006,Tseung Kwan O,3809.0,Sai Kung - Tsui Lam,西貢 - 翠林,Sai Kung
2006,Tseung Kwan O,3810.0,Sai Kung - Hong King,西貢 - 康景,Sai Kung
2006,Tseung Kwan O,3811.0,Sai Kung - Po Lam,西貢 - 寶林,Sai Kung
2006,Tseung Kwan O,3812.0,Sai Kung - Yan Ying,西貢 - 欣英,Sai Kung
2006,Tseung Kwan O,3813.0,Sai Kung - Wan Hang,西貢 - 運亨,Sai Kung
2006,Tseung Kwan O,3814.0,Sai Kung - King Lam,西貢 - 景林,Sai Kung
2006,Tseung Kwan O,3815.0,Sai Kung - Hau Tak,西貢 - 厚德,Sai Kung
2006,Tseung Kwan O,3816.0,Sai Kung - Fu Yu,西貢 - 富裕,Sai Kung
2006,Tseung Kwan O,3817.0,Sai Kung - Tak Ming,西貢 - 德明,Sai Kung
2006,Tseung Kwan O,3818.0,Sai Kung - Po Hong,西貢 - 寶康,Sai Kung
2006,Tseung Kwan O,3819.0,Sai Kung - Sheung Tak,西貢 - 尚德,Sai Kung
2006,Tseung Kwan O,3820.0,Sai Kung - Kwong Ming,西貢 - 廣明,Sai Kung
2006,Yuen Long,3401.0,Yuen Long - Fung Nin,元朗 - 豐年,Yuen Long
2006,Yuen Long,3402.0,Yuen Long - Shui Pin,元朗 - 水邊,Yuen Long
2006,Yuen Long,3403.0,Yuen Long - Nam Ping,元朗 - 南屏,Yuen Long
2006,Yuen Long,3404.0,Yuen Long - Pek Long,元朗 - 北朗,Yuen Long
2006,Yuen Long,3405.0,Yuen Long - Tai Kiu,元朗 - 大橋,Yuen Long
2006,Yuen Long,3406.0,Yuen Long - Fung Cheung,元朗 - 鳳翔,Yuen Long
2006,Yuen Long,3407.0,Yuen Long - Shap Pat Heung North,元朗 - 十八鄉北,Yuen Long
2006,Yuen Long,3408.0,Yuen Long - Shap Pat Heung South,元朗 - 十八鄉南,Yuen Long
2006,Yuen Long,3409.0,Yuen Long - Ping Shan South,元朗 - 屏山南,Yuen Long
2006,Yuen Long,3410.0,Yuen Long - Ping Shan North,元朗 - 屏山北,Yuen Long
2006,Yuen Long,3426.0,Yuen Long - San Tin,元朗 - 新田,Yuen Long
2006,Kwai Chung,2311.0,Sham Shui Po - Lai Chi Kok,深水埗 - 荔枝角,Sham Shui Po
2006,Kwai Chung,2312.0,Sham Shui Po - Mei Foo South,深水埗 - 美孚南,Sham Shui Po
2006,Kwai Chung,2313.0,Sham Shui Po - Mei Foo Central,深水埗 - 美孚中,Sham Shui Po
2006,Kwai Chung,2314.0,Sham Shui Po - Mei Foo North,深水埗 - 美孚北,Sham Shui Po
2006,Kwai Chung,2315.0,Sham Shui Po - Lung Ping,深水埗 - 龍坪,Sham Shui Po
2006,Kwai Chung,3101.0,Kwai Tsing - Kwai Hing,葵青 - 葵興,Kwai Tsing
